name,logo,nativePaymentAsset,floorPrice,numOwners,totalSupply,sevenDayChange,sevenDayVolume,oneDayChange,oneDayVolume,thirtyDayChange,totalVolume
Pixel Ground,https://lh3.googleusercontent.com/VRVVLTa6RRBqoP-Al92MO8yLPH8z0RJolCkYxox_TpHlP-gCyhxpZsgshiNXvvUmmOR1TeMcax74nu69mMy0nYBsP-jfsH5Shj8JGg=s120,KLAY,48,1411,9283,-0.6578577191922044,11735.13560806693384544102226,0.8327338129496396,2021.549686638866330138756798,0.08558764228707122,281521.1105380073995512961202
KlayDino Baby,https://lh3.googleusercontent.com/hEyF62UiwNPXf_PUsiqFaYZHap8gnNMEmaHTvGNovD62hM37fdUPHaDbV_kKHOOLUsM5MAhX-OtdQVMoAnE07V85pmJeAp8OxN2OGw=s120,KLAY,30,939,8888,-0.6499962577651378,4638.653068988221947472382764,2.163768115942029,649.6137830126564513375765113,1.495866161052689,327594.0847861073849391567293
SlimeFarm_Land,https://lh3.googleusercontent.com/WcjErxeq_EfVMTAXiivur1GzdjPxejSI-yaixuyuoCfGC4Ym4djEdEEPrfsu04u4mThoK-IcIzrFZ_rPZf3KzhHlkNgBVyjorr7K7A=s120,KLAY,990,318,502,0.2936366868112337,11250.04477284366214548735582,-0.7493403693931399,978.9816372814397590655253981,-0.32948983490759,331324.1143555491533177262419
KlayRabbit,https://lh3.googleusercontent.com/0cdWDR5LsRf5xqwobQfI-i2oqA1XlaxqLIUpRBwLrinqeNt540wGEVSjDXFA5011R4av7WMq85KGH3wzBSPIYvI0xIw4XchZPu5W=s120,KLAY,23,2335,9691,-0.6621128015886668,2143.447744043698997732094520,-0.1041666666666666,85.30582583461360987148535616,6.018516231182058,417995.5383689187471456092862
VirdKongz,https://lh3.googleusercontent.com/mCH-3r3HM2y8pxNjfN2rCVglnSZbnjy2DJIgGuaIxD4V6keppeEJxRVpi1kldUxD2Y9kjK3KIRC2_fzOzPHzVx9tl02SZTVk-QLN=s120,KLAY,194,547,2999,-0.7721625919300339,8186.383495500764354866242349,-0.6545157780195866,629.8744116858096983441851391,-0.4172430339002237,340549.1889287199872997293145
BabyKlapes V3,https://lh3.googleusercontent.com/Z0wNB7OoPcZaApRxxHK-dsDd1-LS_RrrPU9mUO6cJZRv7uTkyBnzKyaI7ICliNH_OV6rPCdgvjZZBu4Yampg8m874vbtpOneoOasbx0=s120,KLAY,211,702,4792,0.014901424399837564,14455.36976613748542200112176,-0.675217455403214,2185.217840856438783622308386,1.1510749271908933,153472.0547389470445362986807
thisnftisvoid,https://lh3.googleusercontent.com/wi6MXHEV5HZndd0luBx69fPN5MSyejKICC-TMPDHdkPdgSEHWGI09y-leNg0ZG8M6rOQ373oEt5VWhyD3UXJOnfAj2oMGqHmB-foOQ=s120,KLAY,1,939,9999,-1,0.000,0,0.000,0,103162.3174067840684151486332
Mongz,https://lh3.googleusercontent.com/QQznhGXPgiHc_-7Ub5bJre8XFhQnqfOBpMDY9pJD7-ewE2r-kMEIzqtkFTEhmg81yrwWPZGk9KJ8samIlmr57ZLGHlO27vXxmWXn7A=s120,KLAY,20,744,5554,0.10210706761195618,6537.468359060641951374155632,-0.7986733387641105,346.1518765088887336308435145,15.358878065166252,193801.4297059068708025459068
DONKANZI 125,,KLAY,600,445,4003,-0.6717586982863076,22571.32635891433154095642207,0.20719999999999963,2993.639329870509439851732631,0,100586.4798692905864242690272
BadBaby NFT Official,https://lh3.googleusercontent.com/GQvl9xlqIt-8d92FW5JvqOwJC9m2qXbVq2fkM8R59VUXpRqYCHQaJcAeuFkMjfw7hBmxnSsAWotn76lo7_y3TMhytA1ph6IagHNmYw=s120,KLAY,120,391,958,-0.41560299925591,6125.999999999999458629014558,1.9721030042918455,1385.000000000000148755090594,0,98174.15664598006051161996732
Mee Cats NFT,https://lh3.googleusercontent.com/zUiK5acKggHH-qie1ZovGlIp9AmBnrDHEPLotvwUDHm1wxe3POhWa5lNID5TxuwImy4omHIw6XGaWA2-UfuKygMspLo_3GI9IUoyfw=s120,KLAY,169.9,755,2325,0,97101.43752001344955007681615,-0.5466289852636298,6420.800882776112675884605067,0,97101.43752001344955007681615
OYO Universe,https://lh3.googleusercontent.com/iUWMzHKPDXDvpv-7qR38HIj8sMjjOVEIhwN2ok3K138p5M8jvxvGi8HgSdEHLd6q4BJ-YL08G0-ysa1EpVpJyM83DnXVzqXDMrHiFvU=s120,KLAY,99,794,9999,-0.02450724788820489,13917.74467773795191552661741,-0.5953058321479374,564.4071499987806374521423172,1.6021524726307745,133031.3604116364331845782427
Klay Museum,https://lh3.googleusercontent.com/s_-CDHuI97aBBvjWHS-k-2HIkT5Q5GttswPcquBg99rtQtHKo4OU-93IJWCeT7vMi5_0dDsYpv0Lbzy1H-v-DOgG26oZcVYohbx9Yg=s120,KLAY,56,588,5465,-0.7669662916017238,9743.710781086158692418367596,0.9167482859941234,1941.203501841148628282976077,12.907350702448818,132494.7966864190492598824591
META CATS V1,https://lh3.googleusercontent.com/bOft8zpI_3wqsdiCbRUh0AMQVu14kU7cJCaF65XCZ_n1F6JWQNRUX7wAu5OwHTHud0-a9zAYQxb-fn2VDf_JMqkk2ehnPA3ltA_f0g=s120,KLAY,31,1373,10001,-0.4655700348928306,4519.032335942639429853439657,-0.052000000000000095,237.8438071548759772721730436,-0.5454723399315513,1814947.072577778106506206257
Project Spoon DAO,https://lh3.googleusercontent.com/y3ZKplRd6XdgQw_AzzJ-JByWd-yyiD1vOxN-bRQt-qyLdKioxpjDX-_1y5zzG_rMcA_jKML68xh8fUMhI2B5V8xDqRLqjyP2yyhv=s120,KLAY,50,1408,9999,-0.38003523642770265,3382.276801521691189309142342,20.279999999999998,1055.411612651498405150340186,0.1919571322515503,275063.8780168385820250201185
