name,logo,nativePaymentAsset,floorPrice,numOwners,totalSupply,sevenDayChange,sevenDayVolume,oneDayChange,oneDayVolume,thirtyDayChange,totalVolume
EtherOrcs Items,https://storage.opensea.io/files/c11429c7afc0015c888647062e2e65e4.svg,ETH,0.01,796,6,0.3180222077491135,44.80759394999995493,-0.3629979443936751,7.252864000000000644,-0.007774795642908118,263.94482597838049287
Ember Sword Badge,https://lh3.googleusercontent.com/WKoNbcQGx1OCdRCfU5hEkcI_TFHfO-VxMladWaNEQBB01YD-lVeHhg92_b19-nzgUJp7SlWZpMbiAQwfpWIUhzuwlYO0-r8ydRPsmg=s120,ETH,0.203,5924,4,-0.20898599963604933,22.87772803859999371,-0.6754070077909986,2.370600000000000041,-0.1883089773719449,1297.493169098544512963
DeRace Horses,https://lh3.googleusercontent.com/NX0IVtz5ANW7omJmZ782nxA8FHNriqfa764AuOdlRZpO7YLr0yImGggqysOs78dYsmO3lAMpAhwDhtjUbcyrUqUeUCQF_iDX7_20eQ=s120,ETH,0.15,1906,5191,-0.2633197189661511,11.39404900000000076,2.0344827586206895,1.760000000000000009,-0.7182363722426228,3427.79934044591982456
Evaverse Hoverboards,https://lh3.googleusercontent.com/qcQqdAW8G7vS7kjpFrkUfgp-SJnmkV75ONNdSlH-wLzW7EoXFsMuu2kC3UxidNgRTDm0bEnrVhptffYIVog6f8HiA_4ZMfvwK4ky=s120,ETH,0.125,3167,10017,-0.2998325983689918,9.377299999999998192,-0.21106803903221513,2.360799999999999788,-0.48965701898092284,254.656407899000214456
Dvision Land - London & Tokyo,https://lh3.googleusercontent.com/ogUNGS0MNgZFUw8yILa_Oq_mKf9aelh7jJtRJc8arpZqmnMpZsOa87JWjGQ0ZMFqCb-PWxsNXDX4c3Wa16BtdAmoGR6kR9Mbf7sNoA=s120,ETH,0.1099,1106,4735,3.3501270818148003,31.382682399999978884,-0.6430010725042524,6.732790000000000497,-0.8089654075233131,404.475558180005918985
MetaCityM Land OG,https://lh3.googleusercontent.com/B4cdLV_bgpJ03e6NjGrQgYQ6SLg56hgtEQW6ZWjeY8HiyE5YYRONxv4jE5CLZfTMKvpOS9nwCoxf4BLva2l5dJGeWbb-7_RFM3mX=s120,ETH,0.075,1472,5000,0.05160295208715711,5.386100000000001664,1.6381231671554253,1.799200000000000133,4.661231445817582,75.413133444389913507
Project Galaxy NFT,https://lh3.googleusercontent.com/-tom5N1JkMBvXw3rtz7JseJpAIHLrVvU13rTto4uqQCPmW4ZNvboPj34x3Ub3r7baOGYQ43KhcQ3gADkewfOY1gWKFtZ7ZoTFG7_EQ=s120,ETH,0.0064,13057,28296,-0.7877483039933854,3.568280000000001451,-0.8524647176288452,0.263019999999999921,-0.7243721130192133,477.201497868281478532
Genesis Komos by Ethlas,https://lh3.googleusercontent.com/bckKI7rYj3kNKfMnasEcMLDbxO8iqBnEp3kV6ffFmHrR4fsk374IOU--dhoD17r5RDL67m7HE4uUi3b7DJ5eVErfXieC7u9CqqYYWw=s120,ETH,0.129,1326,8337,-0.3914399192011897,14.852699899999992184,-0.39157058326983374,1.688999999999999835,0,61.511399790000112375
Riot Racers Cars,https://lh3.googleusercontent.com/dyiqgz4_Fm6XY7B4xSZB5E4q9iuul46DSzLnBexZFyPB6r6tHMunAg7M7hjBPoJYMp9lFhglxzd_PhDAFc6sKOhOwwpzE7HFE0l5tA=s120,ETH,0.05,1487,6840,-0.5956173836157054,6.114900000000000446,0.12018489984591672,1.453999999999999959,-0.07421911612667874,814.901688900001659022
HOK Main,https://lh3.googleusercontent.com/1lYiYL_wfr19fxF0lNGLvOqZ9tkOQQ4lPQj-8Eae1NGYlfv8hjsb_adJCJvEoJs45hpAwWPO04YHlyf6THN8hddm2d4J3Vd69-r0=s120,ETH,0.075,1160,3291,-0.1717414406505567,8.963000000000000966,-0.15886699507389182,3.414999999999999591,-0.5386620854390045,985.515055999887522376
Riot Racers Drivers,https://lh3.googleusercontent.com/zv-r2X1DouiaCsT0C-8KeY2j_d8VR9pMTq0nIhPFda__IPc1OVqivwKPMik_tits30MwdRWKuYFaceHP9AMzpPeuJsio8-dgjr9AxQ=s120,ETH,0.028,1706,11110,-0.16837205965437776,9.273400000000000531,5.5830128205128196,2.053899999999999615,0.538324916532825,171.162987888800131486
Decentraland Wearables (Polygon),https://lh3.googleusercontent.com/5KIxEGmnAiL5psnMCSLPlfSxDxfRSk4sTQRSyhPdgnu70nGb2YsuVxTmO2iKEkOZOfq476Bl1hAu6aJIKjs1myY=s60,ETH,0.00037721,168072,688911,0.3921999323503483,11.326133123000003522,-0.07250471831809968,2.397820569999999041,-0.19467034690380774,261.003663109870615244
GFARM2 NFT 5,,ETH,13,22,84,-1,0.000,0,0.000,-0.2474916387959866,162.449999999999988631
PolyFarm Official,https://lh3.googleusercontent.com/S08_BnOf9FWz9fvc2_3p3GmztfVFBl-drQ9Fs0KFLsHNA7CGBLhyGqcdigvtM59UHHsU7Y4wBW9hHd6ccgKpRMudeK_GaHj_Hn7ERQ=s120,ETH,0.0545,1410,10008,-0.12585548540784236,9.542310999999994436,-0.745568029127476,0.586999999999999966,-0.18401794530015883,266.322905498895124765
Crypto Cannabis Club NFTokins,https://lh3.googleusercontent.com/KbcsxsxBMQcrDMdz0cx234KEI3183wmsZ9fJCh3y_4B8PLhXP28QLuLTXxgy71gGdETh2gCU7A6VGcr-UqkL-fZ6AVQfWd9RoMEbkw=s120,ETH,0.03898,3711,12999,-0.40768620019185997,5.495859999999999523,0.26599147121535166,1.092499999999999805,0.7638444541347559,269.070103446599603103
MiniGoros,https://lh3.googleusercontent.com/ytC_ynU69zi8KiwRGPVRrF-Q9ZiYTukXzKHZZyTOHXaYbI0bmc_2tlQNs9He3dmgKfKhEDPODisZFikp9AZ6NM9HDTgsxJ-gV4wzJw=s120,ETH,0.016,1566,9977,-0.7685102959207908,1.081800000000000095,2.775023832221163,0.396000000000000019,21.647797488680755,51.785454899999805889
FancyBabyBirds,https://lh3.googleusercontent.com/Lb3i4-CApWQvTemyID8Groes-qhGUmskGnp6tRqy4a852LHiMabZkfY01jbubW687iAM2KsxGVG5XTWFS6YacjlAMTXXb4-8YCtvWQ,ETH,,878,5096,-0.624112309847676,10.820600000000005991,-0.27864233386796117,1.664099999999999913,0,39.60738999999981047
Infinite Moments,https://lh3.googleusercontent.com/ANcRsf-SUAPJdgpC0SQz03OerhwSuv-COyfczv_bleH-hErIyYPJYQIXKLM8dGWO93jqpjYVpdERcqFqp8otNAsYGYoM0C-Rfsuy=s120,ETH,0.00198,812,618,0.9676960209324323,18.455720889799941631,1.082929956794972,6.862743889800015928,-0.45175921373235023,106.543565349595311886
