name,logo,nativePaymentAsset,floorPrice,numOwners,totalSupply,sevenDayChange,sevenDayVolume,oneDayChange,oneDayVolume,thirtyDayChange,totalVolume
Stoned Ape Crew,https://lh3.googleusercontent.com/XvTMloYdyEv8jP17LB2_Ik_8ojbn8Of0fEr6j2fUjvqD3EtXVjqZ5szAoHmeYOQqccLaifqt4hcmcDS1S9gu7hMmw6Ad5asMUd1f=s120,SOL,104.2,4040,4198,-1,0.000,0,0.000,0,525.3082871631017028381507576
Metawana: Genesis,https://lh3.googleusercontent.com/tJNZq1Siz0mI2wLWvvO29l3YdDlIQ1E4Ap5iLdq6dotoL65iZW1dS5Cur2Jy4N5C7FYy7aZWxB8va0RZpJ684f_5gev9v8O5ZvYXXw=s120,SOL,0.57,1508,4420,0.46967711745437485,62.86643883198585280367382057,2.085470085470085,3.613013725976200249256777195,-0.6657776373917724,2053.483419286928396879088960
Portals,https://lh3.googleusercontent.com/M-lW46K8vEBZZbFPPmW8oc8ugQnVRP7YxOOG8TyTDwKmSAD_6YgqQ9-VZYzJFC8Objri8XJP6Dps8kJ5Lvw6XCHDtGxKxT9Uhvtk9fA=s120,SOL,,2996,5000,-1,0.000,0,0.000,0,716.3383104295857760042261489
World of Solana,https://lh3.googleusercontent.com/wflmxtYMIXa97VYq_Kp1qfOAd6haiLwNEnU4bGd1XVyz9zJ-LbsVZTdZ_6PhoLBu45uTjsAncVjl2_5tCTDIeRqsJOXeroN1X7KOK5s=s120,SOL,2.95,613,2210,-1,0.000,0,0.000,0,471.5346361034113611459883984
Shadowy Super Coder,https://lh3.googleusercontent.com/5Ty2E7_hT4c9sHNStPwXcc9Gp8ciJlUNVb_AgTxSzuvKq6BKVO4xx44vr9RLFSDoEmPvnkLaYvBsiLMiTI0aiZYY-djUlvQPktVZ=s120,SOL,,153,10000,0,256.5709220408602948889575296,-1,0.000,0,440.2509027291262926090919737
YAKU Corp: Capsule X,https://lh3.googleusercontent.com/NvDrSnAfUHikAoJMWAwARD6QqusoZ1N0hBl58poOsN5iCtZVSpv5pUVC5znYcBkvFkRkpEMFeJSH8wJ4pT_PyT1sexU9pvHzeEGHc5w=s120,SOL,10.01,3997,6999,-0.24555364314400466,26.03725456067548304760432506,-1,0.000,-0.5518990443518745,1170.132040130980420237976586
Project: TENJIN,https://lh3.googleusercontent.com/fmejr3coEVpNkV463xRznLwbmtoZSwO0Aq_BBtsVkLADY5pEdO9hFC-Rn9bffT9l8sbb2_5x8Muk2aFPTVl9FZ73wAbJolsIutQvWA=s120,SOL,2,5933,7499,-0.3130903539738575,145.2047870057542570808480542,-1,0.000,0,357.5008614585038134717796173
Tojiba CPU Corp,https://lh3.googleusercontent.com/gW2RqnYJjX3A09hIcfEnVS_thra-1j30AxdI_7pxauDo1rxPsfDp8ib1hNTwCTTkT_Aj4wtKyGhVMUA5MN9y3mqve_-8gzVx9Cn9Sw=s120,SOL,3,380,2090,5.905847275987018,308.3991350691035539866991377,0,29.21571767674551859386400599,0,353.0568175726637523169867419
Degenerate Trash Pandas,https://lh3.googleusercontent.com/ujTMHw279R6dyoT7sEAA8TBMRJAQWUrQq_yTrUaPoDuAPKR7DAgORqsa8cQCtMD_MyCWnNywUlU07lTXprUKMUuS1dl6MYWRZ5IQ=s120,SOL,7.45,20311,30518,0.8121635439360927,173.0028854348996046121511662,0,15.35167173190454761405938402,0,338.8572956311812887139099985
Solana Monke Rejects,https://lh3.googleusercontent.com/ltEPCCcoqOZ10SKHu47rugw8VpYAbICAzYzF9bcWKHZPI9i3jF16v0D_-fT8ZTLz-FgIHtQJaoC2mK5w1Pe93zm3F3gTGMAIPOVqKQ=s120,SOL,5.2,2727,5999,0.7501239464551314,208.3876221839112838816178502,0.24509803921568626,31.23846555400936267500350871,0,333.3611621735259832029176235
